Province,2011,2012,2013,2014,2015
Aceh,27.68,28.55,29.18,32.93,33.07
Sumatera Utara,16.94,17.27,21.81,24.82,25.16
Sumatera Barat,23.95,27.55,30.66,32.89,33.13
Riau,15.34,15.81,22.04,24.48,24.85
Jambi,15.64,15.22,20.25,22.11,22.22
Sumatera Selatan,12.75,13.91,14.08,16.87,17.00
Bengkulu,17.02,19.64,24.12,28.14,28.37
Lampung,10.39,11.90,16.19,18.67,18.81
Kepulauan Bangka Belitung,8.63,9.30,9.46,12.22,12.73
Kepulauan Riau,9.67,10.14,14.85,17.40,17.69
DKI Jakarta,17.83,18.02,19.65,22.52,22.71
Jawa Barat,11.15,12.25,17.34,19.27,19.40
Jawa Tengah,11.51,11.83,17.42,20.48,20.57
DI Yogyakarta,44.17,44.69,45.86,49.08,49.17
Jawa Timur,12.69,14.59,19.49,21.84,21.95
Banten,13.56,15.97,18.08,19.61,19.68
Bali,18.93,18.99,19.84,23.59,23.75
Nusa Tenggara Barat,16.99,17.82,22.64,26.73,26.84
Nusa Tenggara Timur,17.40,17.92,22.88,26.22,26.54
Kalimantan Barat,11.94,14.17,19.27,23.18,23.32
Kalimantan Tengah,13.05,14.04,19.89,22.31,22.47
Kalimantan Selatan,13.62,16.48,16.95,20.36,20.53
Kalimantan Timur,16.92,20.33,25.04,27.34,27.55
Kalimantan Utara,-,-,-,-,17.87
Sulawesi Utara,15.16,16.12,16.36,20.91,21.31
Sulawesi Tengah,16.72,16.74,21.76,25.05,25.13
Sulawesi Selatan,21.46,23.17,27.80,30.23,30.64
Sulawesi Tenggara,21.48,23.62,24.00,28.78,28.89
Gorontalo,19.85,20.46,23.27,27.94,28.38
Sulawesi Barat,13.03,14.65,18.04,21.53,21.97
Maluku,26.71,28.98,33.80,36.44,36.60
Maluku Utara,19.33,21.79,26.42,30.85,31.25
Papua Barat,16.46,20.03,24.10,29.66,29.96
Papua,12.81,13.86,17.50,22.48,22.55
