Province,2011,2012,2013,2014,2015
Aceh,79.4,79.6,80.7,78.3,80
Sumatera Utara,79,76,78.67,79,86.9
Sumatera Barat,54.2,87,86.91,85.35,84
Riau,74.5,76.1,76,78.1,80.5
Jambi,82.5,81.4,83.42,82.8,82.1
Sumatera Selatan,84.8,83,84,81,79.5
Bengkulu,,82,83.93,83.7,83.2
Lampung,77.8,79.2,81,79.9,78.9
Kepulauan Bangka Belitung,81.5,82,83.58,79.8,79.9
Kepulauan Riau,85.7,85.3,85,83.3,84.1
DKI Jakarta,74.3,73.9,77.43,73.3,74
Jawa Barat,76,75.8,77,77.17,74.4
Jawa Tengah,75,75,78.18,76,70
DI Yogyakarta,78.4,80.3,86.2,83.6,82.8
Jawa Timur,71.5,,79.19,75.7,75.2
Banten,81,81,81,97.8,79.3
Bali,82,81,80,79,79.1
Nusa Tenggara Barat,80.1,81.3,80,82.8,81.4
Nusa Tenggara Timur,75.2,73.8,74.9,73.2,75.6
Kalimantan Barat,84.8,83.3,85.17,85.8,85.7
Kalimantan Tengah,,84.3,84.6,82.96,80.5
Kalimantan Selatan,81.8,83.9,84.3,82.7,81.2
Kalimantan Timur,82.2,81.4,82.83,81.4,79.7
Kalimantan Utara,,,84,84,83.7
Sulawesi Utara,84.5,84,84.4,82.7,75.6
Sulawesi Tengah,76.1,76,76.5,77.7,72.6
Sulawesi Selatan,81,83.4,83.67,78.2,75.2
Sulawesi Tenggara,84,,76.5,74.7,83.1
Gorontalo,83.3,82.7,82.67,79.8,77.5
Sulawesi Barat,78.9,79.1,80.58,78.1,77.2
Maluku,85.4,85.5,,84,83.6
Maluku Utara,82.4,,84,82,78.3
Papua Barat,85.8,83.7,83,82.8,83.6
Papua,85,81.8,80.6,80.5,75.5
