province,met_stn,2011_wind,2011_rh,2012_wind,2012_rh,2013_wind,2013_rh,2014_wind,2014_rh,2015_wind,2015_rh
Aceh,Sultan Iskandar Muda,4.90,79.40,4.80,79.60,5.20,80.70,5.30,78.30,2.71,80.00
Sumatera Utara,Kualanamu1,1.80,79.00,0.60,76.00,1.99,78.67,,79.00,2.38,86.90
Sumatera Barat,Sicincin,0.50,54.20,0.30,87.00,1.06,86.91,0.30,85.35,2.88,84.00
Riau,Sultan Syarif Kasim II,5.40,74.50,5.90,76.10,,76.00,2.90,78.10,2.97,80.50
Jambi,Sultan Thaha2,5.50,82.50,5.10,81.40,2.45,83.42,2.20,82.80,2.39,82.10
Sumatera Selatan,Kenten,2.70,84.80,3.00,83.00,3.60,84.00,2.20,81.00,3.32,79.50
Bengkulu,Pulau Baai,,,2.00,82.00,3.57,83.93,4.02,83.70,2.12,83.20
Lampung,Radin Inten II,4.00,77.80,4.20,79.20,1.50,81.00,3.50,79.90,1.95,78.90
Kepulauan Bangka Belitung,Depati Amir,3.40,81.50,3.00,82.00,5.67,83.58,4.10,79.80,4.05,79.90
Kepulauan Riau,Kijang,6.80,85.70,6.90,85.30,7.00,85.00,6.80,83.30,3.16,84.10
DKI Jakarta,Kemayoran3,2.40,74.30,4.70,73.90,3.92,77.43,2.80,73.30,1.54,74.00
Jawa Barat,Bandung,3.00,76.00,3.20,75.80,3.00,77.00,3.33,77.17,2.14,74.40
Jawa Tengah,Semarang,10.30,75.00,10.20,75.00,10.30,78.18,6.00,76.00,2.83,70.00
DI Yogyakarta,Yogyakarta,1.00,78.40,0.60,80.30,4.30,86.20,0.80,83.60,0.07,82.80
Jawa Timur,Juanda,7.20,71.50,13.30,,19.25,79.19,7.30,75.70,3.88,75.20
Banten,Serang,2.40,81.00,2.30,81.00,2.30,81.00,1.90,97.80,0.99,79.30
Bali,Ngurah Rai,6.00,82.00,6.00,81.00,6.10,80.00,6.40,79.00,3.27,79.10
Nusa Tenggara Barat,Bandara Int. Lombok,7.00,80.10,6.00,81.30,,80.00,3.00,82.80,3.27,81.40
Nusa Tenggara Timur,Lasiana,8.80,75.20,3.10,73.80,3.68,74.90,4.30,73.20,4.04,75.60
Kalimantan Barat,Supadio,2.90,84.80,2.00,83.30,12.12,85.17,5.00,85.80,1.75,85.70
Kalimantan Tengah,Tjilik Riwut,,,3.00,84.30,1.50,84.60,2.12,82.96,2.17,80.50
Kalimantan Selatan,Banjarbaru,5.30,81.80,3.80,83.90,3.00,84.30,3.30,82.70,1.92,81.20
Kalimantan Timur,Temindung,3.30,82.20,3.40,81.40,3.42,82.83,3.70,81.40,1.96,79.70
Kalimantan Utara,Tanjung Harapan,,,,,2.60,84.00,4.10,84.00,2.20,83.70
Sulawesi Utara,Kayuwatu,4.50,84.50,2.90,84.00,4.46,84.40,5.30,82.70,2.92,75.60
Sulawesi Tengah,Mutiara SIS Al-Jufrie,1.80,76.10,3.80,76.00,3.58,76.50,3.90,77.70,2.32,72.60
Sulawesi Selatan,Maros4,4.00,81.00,3.90,83.40,3.92,83.67,4.00,78.20,2.89,75.20
Sulawesi Tenggara,Kendari,2.00,84.00,,,5.85,76.50,,74.70,1.27,83.10
Gorontalo,Djalaluddin,0.90,83.30,1.30,82.70,1.33,82.67,2.20,79.80,1.95,77.50
Sulawesi Barat,Majene,3.60,78.90,4.50,79.10,4.17,80.58,2.00,78.10,1.93,77.20
Maluku,Pattimura,4.20,85.40,4.50,85.50,,,5.00,84.00,2.35,83.60
Maluku Utara,Sultan Babullah,4.90,82.40,,,4.50,84.00,5.00,82.00,2.60,78.30
Papua Barat,Rendani,3.70,85.80,3.70,83.70,2.48,83.00,8.50,82.80,1.54,83.60
Papua,Angkasapura,2.70,85.00,3.10,81.80,5.90,80.60,6.20,80.50,2.60,75.50
