Province,2011,2012,2013,2014,2015
Aceh,27.1,26.9,27.0,27.1,27.1
Sumatera Utara,27.2,27.3,28.77,27.9,27.4
Sumatera Barat,0.0,25.2,25.13,25.67,26.5
Riau,27.0,27.3,26.0,27.2,27.2
Jambi,26.9,26.7,26.75,27.2,27.0
Sumatera Selatan,27.3,27.4,27.3,24.2,27.7
Bengkulu,0.0,26.9,26.74,26.9,27.0
Lampung,26.8,26.8,26.7,25.79,27.1
Kepulauan Bangka Belitung,27.4,27.0,27.0,27.2,27.3
Kepulauan Riau,26.8,26.8,26.77,27.1,27.0
DKI Jakarta,28.5,28.1,28.2,28.4,28.4
Jawa Barat,23.4,23.4,23.5,23.4,23.5
Jawa Tengah,27.7,28.0,28.02,28.02,28.5
DI Yogyakarta,26.0,26.6,26.2,26.3,26.1
Jawa Timur,0.0,28.0,27.9,28.0,28.0
Banten,27.0,27.1,27.0,27.3,27.3
Bali,26.8,26.9,27.4,27.4,27.3
Nusa Tenggara Barat,0.0,25.8,28.25,0.0,26.1
Nusa Tenggara Timur,27.0,27.2,27.5,27.4,27.5
Kalimantan Barat,26.6,27.1,26.9,26.8,26.9
Kalimantan Tengah,0.0,27.3,27.4,27.4,27.7
Kalimantan Selatan,27.1,26.6,26.7,26.8,27.0
Kalimantan Timur,27.3,28.0,27.43,27.7,27.9
Kalimantan Utara,0.0,0.0,27.4,27.4,27.6
Sulawesi Utara,26.1,26.1,26.37,26.6,27.0
Sulawesi Tengah,27.6,27.7,26.7,26.7,28.4
Sulawesi Selatan,26.8,27.0,27.23,27.2,27.3
Sulawesi Tenggara,0.0,0.0,27.0,26.8,26.9
Gorontalo,27.0,27.0,27.0,26.7,27.3
Sulawesi Barat,27.7,27.6,27.58,27.9,27.9
Maluku,26.6,26.4,0.0,26.6,26.5
Maluku Utara,26.9,0.0,27.0,27.0,27.3
Papua Barat,27.1,27.2,27.3,27.5,27.4
Papua,27.1,27.0,27.9,28.1,27.8
